"filename", "language", "pip requirements", "Python", "c", "cpp", "bash", "Excel", "comment", "blank", "total"
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_bundle/_pydev_tipper_common.py", "Python", 0, 38, 0, 0, 0, 0, 0, 15, 53
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_bundle/fsnotify/__init__.py", "Python", 0, 274, 0, 0, 0, 0, 0, 80, 354
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_bundle/pydev_console_utils.py", "Python", 0, 527, 0, 0, 0, 0, 0, 113, 640
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_bundle/pydev_import_hook.py", "Python", 0, 29, 0, 0, 0, 0, 0, 12, 41
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_bundle/pydev_imports.py", "Python", 0, 7, 0, 0, 0, 0, 0, 7, 14
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_bundle/pydev_ipython_console.py", "Python", 0, 77, 0, 0, 0, 0, 0, 21, 98
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_bundle/pydev_ipython_console_011.py", "Python", 0, 423, 0, 0, 0, 0, 0, 94, 517
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_bundle/pydev_is_thread_alive.py", "Python", 0, 16, 0, 0, 0, 0, 0, 8, 24
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_bundle/pydev_localhost.py", "Python", 0, 51, 0, 0, 0, 0, 0, 17, 68
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_bundle/pydev_log.py", "Python", 0, 180, 0, 0, 0, 0, 0, 49, 229
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_bundle/pydev_monkey.py", "Python", 0, 928, 0, 0, 0, 0, 0, 254, 1182
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_bundle/pydev_monkey_qt.py", "Python", 0, 163, 0, 0, 0, 0, 0, 54, 217
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_bundle/pydev_override.py", "Python", 0, 27, 0, 0, 0, 0, 0, 8, 35
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_bundle/pydev_umd.py", "Python", 0, 158, 0, 0, 0, 0, 0, 23, 181
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_bundle/pydev_versioncheck.py", "Python", 0, 13, 0, 0, 0, 0, 0, 4, 17
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_runfiles/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_runfiles/pydev_runfiles.py", "Python", 0, 683, 0, 0, 0, 0, 0, 175, 858
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_runfiles/pydev_runfiles_coverage.py", "Python", 0, 63, 0, 0, 0, 0, 0, 14, 77
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_runfiles/pydev_runfiles_nose.py", "Python", 0, 170, 0, 0, 0, 0, 0, 38, 208
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_runfiles/pydev_runfiles_parallel.py", "Python", 0, 213, 0, 0, 0, 0, 0, 55, 268
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_runfiles/pydev_runfiles_parallel_client.py", "Python", 0, 157, 0, 0, 0, 0, 0, 58, 215
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_runfiles/pydev_runfiles_pytest2.py", "Python", 0, 238, 0, 0, 0, 0, 0, 69, 307
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_runfiles/pydev_runfiles_unittest.py", "Python", 0, 123, 0, 0, 0, 0, 0, 28, 151
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydev_runfiles/pydev_runfiles_xml_rpc.py", "Python", 0, 206, 0, 0, 0, 0, 0, 52, 258
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/_debug_adapter/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/_debug_adapter/__main__pydevd_gen_debug_adapter_protocol.py", "Python", 0, 454, 0, 0, 0, 0, 0, 139, 593
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/_debug_adapter/pydevd_base_schema.py", "Python", 0, 109, 0, 0, 0, 0, 0, 39, 148
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/_debug_adapter/pydevd_schema.py", "Python", 0, 17268, 0, 0, 0, 0, 0, 2247, 19515
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/_debug_adapter/pydevd_schema_log.py", "Python", 0, 35, 0, 0, 0, 0, 0, 12, 47
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevconsole_code.py", "Python", 0, 428, 0, 0, 0, 0, 0, 127, 555
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_additional_thread_info.py", "Python", 0, 15, 0, 0, 0, 0, 0, 5, 20
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_additional_thread_info_regular.py", "Python", 0, 133, 0, 0, 0, 0, 0, 21, 154
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_api.py", "Python", 0, 927, 0, 0, 0, 0, 0, 215, 1142
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_breakpoints.py", "Python", 0, 147, 0, 0, 0, 0, 0, 38, 185
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_bytecode_utils.py", "Python", 0, 687, 0, 0, 0, 0, 0, 157, 844
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_code_to_source.py", "Python", 0, 462, 0, 0, 0, 0, 0, 150, 612
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_collect_bytecode_info.py", "Python", 0, 738, 0, 0, 0, 0, 0, 188, 926
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_comm.py", "Python", 0, 1520, 0, 0, 0, 0, 0, 303, 1823
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_comm_constants.py", "Python", 0, 173, 0, 0, 0, 0, 0, 36, 209
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_command_line_handling.py", "Python", 0, 143, 0, 0, 0, 0, 0, 36, 179
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_concurrency_analyser/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_concurrency_analyser/pydevd_concurrency_logger.py", "Python", 0, 290, 0, 0, 0, 0, 0, 57, 347
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_concurrency_analyser/pydevd_thread_wrappers.py", "Python", 0, 59, 0, 0, 0, 0, 0, 25, 84
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_console.py", "Python", 0, 216, 0, 0, 0, 0, 0, 55, 271
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_constants.py", "Python", 0, 583, 0, 0, 0, 0, 0, 210, 793
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_custom_frames.py", "Python", 0, 81, 0, 0, 0, 0, 0, 36, 117
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_cython.c", "c", 0, 0, 40616, 0, 0, 0, 0, 2549, 43165
"/home/gig/base_tax-matrix/.venv_only-required-packages/lib/python3.8/site-packages/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_cython_wrapper.py", "Python", 0, 38, 0, 0, 0, 0, 0, 15, 53
